Sample,A Ext 1,A Ext 2,A Ext 3,A Int 1,A Int 2,A Int 3,Blank01,Blank02,Blank03,B Ext 1,B Ext 2,B Ext 3,B Int 1,B Int 2,B Int 3,Control Ext 1,Control Ext 2,Control Ext 3,Control Int 1,Control Int 2,Control Int 3,C Ext 1,C Ext 2,C Ext 3,C Int 1,C Int 2,C Int 3,QC01,QC02,QC03,QC04,QC05,QCdilution 0_0625,QCdilution 0_125,QCdilution 0_25,QCdilution 0_5,QCdilution 1_0
Label,A Ext,A Ext,A Ext,A Int,A Int,A Int,Blank,Blank,Blank,B Ext,B Ext,B Ext,B Int,B Int,B Int,Control Ext,Control Ext,Control Ext,Control In,Control In,Control In,C Ext,C Ext,C Ext,C Int,C Int,C Int,QC,QC,QC,QC,QC,QC,QC,QC,QC,QC
"1,2-Dipentadecanoyl-sn-glycero-3-phosphoethanolamine",0.001,0.001,0.001,2.64E+07,2.57E+07,2.53E+07,0.001,0.001,0.001,0.001,0.001,0.001,305775.4,298585.2,250440.6,0.001,0.001,0.001,0.001,0.001,0.001,52304.04,0.001,0.001,1.11E+07,1.41E+07,1.25E+07,0.001,7373266,7583795,7198766,7420192,670488.3,1335440,2366876,4233677,7620839
"1,2-Phenylenediamine",2775524,2631533,2656936,653469.1,646638.3,716272.8,0.001,0.001,0.001,2574263,2817873,2722028,0.001,436187.5,0.001,2639834,2706191,2648407,0.001,0.001,509016.7,2692264,2398866,2454600,0.001,778602.8,0.001,1691983,1566626,1621091,1603561,1653936,0.001,0.001,0.001,797556.7,1580836
12(R)-HETE,108618.6,84526.22,94054.81,0.001,83107.8,80795.51,0.001,0.001,0.001,178397.4,0.001,0.001,0.001,35852.44,58270.75,0.001,89001.63,0.001,0.001,0.001,0.001,101944.4,68278.8,84187.57,285798,332576.5,340880.4,0.001,0.001,80664.47,75619.71,0.001,0.001,0.001,0.001,0.001,0.001
1-Aminocyclopropanecarboxylate,435626.5,339203.3,389986.1,0.001,0.001,0.001,0.001,0.001,0.001,0.001,259123.9,313983.9,0.001,0.001,0.001,0.001,71450.18,0.001,0.001,0.001,0.001,371610.1,360842.6,389185.3,0.001,116974,0.001,178718.8,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1-Hydroxypyrene,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,79046.95,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1-Methyladenine,1981616,1942594,1891114,833032.6,834696.1,880774.4,0.001,0.001,0.001,2722846,3211341,2929594,1007698,1133399,893050.1,1435383,1389757,1349184,0.001,515944,463981.7,1757046,1513420,1628973,1064605,983403.1,839674.1,1616829,1486675,1446948,1508670,1595733,164114.2,0.001,641941.2,1013226,1472727
1-Methyladenosine,5497219,4992111,5277717,2435868,2459547,2399786,0.001,0.001,0.001,745374.2,938038.5,883169.8,479847.8,473483,406497,2824502,3348393,0.001,420384.3,1014015,1018061,6363571,6550408,6882656,6380202,5050598,4655105,0.001,3599727,3308221,3312928,3303634,384806.8,875693.8,1534285,2389330,3249308
1-Methylguanosine,893758.2,858868.2,813040.1,0.001,0.001,0.001,0.001,0.001,0.001,818874.4,898344.4,852238.1,264667.2,281489.8,266086.8,0.001,642899.5,0.001,120881.6,496770.6,413087.2,658928.6,0.001,521541.6,0.001,0.001,0.001,0.001,0.001,0.001,96983.11,113501.2,76630.91,144498.4,195783.8,204757.1,0.001
1-Methyl-L-histidine,0.001,0.001,0.001,0.001,53456.62,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,73756.9,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,12864.97,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
1-Palmitoyl-2-oleoyl-sn-glycero-3-phosphoethanolamine,0.001,0.001,0.001,1.54E+07,1.58E+07,1.50E+07,0.001,0.001,0.001,0.001,23367.64,0.001,1738630,1862211,1598711,10954.73,0.001,0.001,0.001,0.001,0.001,239196.8,319212.1,362921.9,5.31E+07,5.07E+07,4.66E+07,0.001,1.44E+07,1.47E+07,1.41E+07,1.44E+07,1403864,2781083,5033976,8519052,1.48E+07
2-(beta-Glucosyl)glycerol,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,44252.05,50888.55,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,12387.05,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
"2,2',3,4,4',5,5'6-Octabromodiphenyl Ether",195230.4,195461.9,203109.8,0.001,0.001,0.001,0.001,0.001,0.001,172029,186087.3,206184,0.001,0.001,0.001,305721.8,208923.7,245054.6,0.001,0.001,0.001,214883.7,189125.7,0.001,0.001,0.001,0.001,130290.2,119922.1,0.001,107305.5,108275.8,0.001,0.001,0.001,0.001,114307.4
"2,2',3,4,4',5',6-Heptabromodiphenyl Ether",72965.05,86474.56,0.001,0.001,0.001,0.001,0.001,0.001,0.001,59218,0.001,78650.33,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,99193.8,122014.4,108654.3,0.001,0.001,0.001,0.001,69332.51,69574.92,48380.63,63610.44,0.001,0.001,0.001,0.001,52572.18
