Sample,A Ext 1,A Ext 2,A Ext 3,A Int 1,A Int 2,A Int 3,Blank01,Blank02,Blank03,B Ext 1,B Ext 2,B Ext 3,B Int 1,B Int 2,B Int 3,Control Ext 1,Control Ext 2,Control Ext 3,Control Int 1,Control Int 2,Control Int 3,C Ext 1,C Ext 2,C Ext 3,C Int 1,C Int 2,C Int 3,QC01,QC02,QC03,QC04,QC05,QCdilution 0_0625,QCdilution 0_125,QCdilution 0_25,QCdilution 0_5,QCdilution 1_0
Label,A Ext,A Ext,A Ext,A Int,A Int,A Int,Blank,Blank,Blank,B Ext,B Ext,B Ext,B Int,B Int,B Int,Control Ext,Control Ext,Control Ext,Control In,Control In,Control In,C Ext,C Ext,C Ext,C Int,C Int,C Int,QC,QC,QC,QC,QC,QC,QC,QC,QC,QC
5-Methylcytidine,2162170,2174630,2087842,911704.8,978771.1,1382161,0.001,0.001,0.001,2498847,2215977,2252640,1006383,790546.4,662703.2,1879874,2624881,2087881,331681.8,1320656,709711.8,2099956,2301233,2779189,1371357,1620743,1444483,2519883,1765029,2432076,1549038,1757099,520311.7,1232522,2257015,3096751,3395522
5'-Methylthioadenosine,930295.9,974649.4,1038353,241790.1,226661.1,212278.2,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,8036133,8121555,0.001,0.001,2740894,2089052,0.001,0.001,0.001,0.001,0.001,120373,0.001,1755436,1776108,1723273,1690562,0.001,0.001,0.001,1249988,1705439
6-Carboxyhexanoate,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,148053.9,498944.9,779044.2,610008.5,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,61976.44,0.001,0.001
6-Hydroxynicotinate,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,71394.52,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
7-hydroxybenzo(a)pyrene,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,797336.8,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
7-Methylguanine,89484.8,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,79014.41,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
8(S)-HETE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,33950.04,0.001,0.001,0.001,0.001
9-Methylanthracene,295103.1,278829.8,323275.3,0.001,0.001,0.001,0.001,0.001,0.001,334799.3,312988.5,317234.5,0.001,36426.98,0.001,332956.3,269605.1,302918.4,0.001,15878.58,0.001,301282.2,287052.9,283030.6,0.001,0.001,0.001,0.001,0.001,177456.7,165552.4,180586.9,0.001,0.001,0.001,74607.91,208022.8
9-OxoODE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,21883.91,0.001,0.001,0.001
AADALLLK or DIVGAVLK (Tryptic Peptide),312661.4,256469.8,300820.1,116090.1,130365.1,165688.3,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,57957.43,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
AAGHDGK (Tryptic Peptide),0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,244357.8,0.001,0.001,0.001,0.001,453411.3,559625.1,557975.5,0.001,0.001,0.001,0.001,0.001,219023.4,0.001,0.001,0.001,0.001,0.001,123415.4,0.001
Acenaphthene,75140.85,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,79934.69,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,37263.31,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
Acetaminophen,425117.7,315730.3,366863.3,0.001,0.001,0.001,0.001,0.001,0.001,313670,307893.1,309587,0.001,0.001,0.001,302796.3,284933.9,320430.9,0.001,86706.8,0.001,465601.7,454594.6,443837.8,0.001,117291,0.001,278198.9,272015.8,258657.8,263744.2,280440.1,0.001,0.001,65254.84,158085.2,274354.4
Adenine,6.50E+07,6.65E+07,6.76E+07,5.28E+07,5.00E+07,5.02E+07,620468.9,590588.9,559097.3,0.001,0.001,0.001,0.001,0.001,0.001,5.74E+07,5.73E+07,5.63E+07,2.59E+07,3.83E+07,3.85E+07,8.01E+07,7.64E+07,8.19E+07,5.45E+07,6.30E+07,6.01E+07,6.57E+07,5.60E+07,5.52E+07,5.43E+07,5.28E+07,2.49E+07,3.48E+07,4.19E+07,4.77E+07,5.26E+07
Adenosine,8.20E+07,7.94E+07,7.71E+07,4.54E+07,4.29E+07,4.63E+07,0.001,0.001,0.001,1137286,687349.9,894352.6,324919.5,202481.3,223451.2,8.86E+07,9.11E+07,8.42E+07,3.11E+07,5.27E+07,5.24E+07,7.15E+07,6.41E+07,6.92E+07,4.83E+07,6.70E+07,5.96E+07,0.001,6.04E+07,5.84E+07,5.79E+07,5.71E+07,1.63E+07,2.63E+07,3.72E+07,4.75E+07,5.65E+07
"Adenosine-2',3'-Cyclic Phosphate",1933106,1581528,1584932,200650.1,274686.9,250166.9,0.001,0.001,0.001,1514560,1439492,1539504,329583.4,334068.5,300463.8,1839088,1743918,1717654,134682.3,352148.3,313169.2,0.001,46989.58,0.001,0.001,0.001,0.001,610238.8,570490.7,673713.7,636727.8,647424.9,48096.76,118022.8,231585.4,405598.2,695806.2
"Adenosine-3',5'-Diphosphate",0.001,0.001,0.001,79079.8,0.001,0.001,0.001,0.001,0.001,0.001,29769.84,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,25931.08,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
Adenosine-5'-diphosphoglucose,0.001,0.001,0.001,40291.18,0.001,0.001,0.001,0.001,0.001,0.001,22992.05,0.001,0.001,0.001,0.001,0.001,0.001,27481.15,0.001,41172.81,57918.44,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
Adenosine-5'-monophosphate,0.001,0.001,147306.1,0.001,0.001,0.001,0.001,0.001,0.001,0.001,205037.5,178289.4,0.001,0.001,0.001,249201,0.001,174098,92322.25,98658.16,132084.9,0.001,0.001,0.001,0.001,0.001,0.001,0.001,166576.9,0.001,118652.2,198975.5,0.001,0.001,0.001,0.001,0.001
Adenosine-5'-triphosphate,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,33307.47,0.001,194196,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
ADH (Tryptic Peptide),2179696,2191563,2010899,1785300,1709814,1764780,0.001,0.001,0.001,1750915,1877810,1760532,873049.4,866188,806518.3,1901456,1827807,1874545,514711.7,1077330,975789.8,2061940,2124093,2208194,2602974,1820927,1794169,0.001,1766583,1746846,1759569,1808718,484149.7,878104.9,1299713,1568451,1783590
Ampicillin,0.001,237630.3,0.001,0.001,0.001,0.001,0.001,0.001,0.001,267388.8,0.001,229210.7,0.001,0.001,0.001,0.001,230006.9,276365.6,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,123863.4,0.001,0.001,0.001,0.001,0.001,0.001
Anabasine,444409.8,415882.9,442000,116610,0.001,141218.7,0.001,0.001,0.001,488348.6,488743.1,463165.8,83338.5,93775.36,0.001,468468.7,467510.8,462749.3,0.001,136649.5,110763.8,418838.6,444434.8,433766.2,91762.08,158234.7,129075.5,329585.2,334253.1,353174.7,303276.8,290712,0.001,39447.66,0.001,164973,358166.8
A0.001rostenedione,0.001,940681.5,1081434,315594.9,314331.6,394403.4,0.001,0.001,0.001,1021261,1003350,1023609,170090.3,0.001,137162.1,1077984,1092375,0.001,0.001,251650.7,249662.9,1063509,958303.1,990837.3,252774.2,374997.6,337766.2,0.001,732906,733332.4,711601.8,710005.2,0.001,0.001,0.001,383242.2,675322.5
ANIDVK (Tryptic Peptide),0.001,0.001,0.001,268308.7,0.001,287827.6,403705.7,73721.36,0.001,705006.2,0.001,587970.2,433934.2,409678.2,386423,0.001,0.001,0.001,0.001,0.001,384463.2,0.001,547066.2,0.001,191621.1,220399,0.001,405218.9,0.001,0.001,364724.7,465149.1,0.001,0.001,0.001,0.001,0.001
Aniline-2-sulfonate,0.001,0.001,53947.32,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,58990.54,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
Anserine,0.001,0.001,82974.92,0.001,0.001,0.001,0.001,0.001,0.001,0.001,55623.35,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,192392.4,168623,194416.8,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,113283,0.001,0.001,0.001
Antimycin A10,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,933775,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
Antimycin A3,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,2085620,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
ATEEQLK (Tryptic Peptide),0.001,0.001,17764.49,0.001,0.001,0.001,0.001,0.001,0.001,14663.13,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
Atrazine,58232.91,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
AWSVAR (Tryptic Peptide),0.001,0.001,0.001,0.001,0.001,230832.8,0.001,195085.5,0.001,0.001,0.001,173553.9,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,233746.8,78880.02,146652.6,0.001,167684.9,0.001,0.001,0.001,0.001,0.001,0.001
Azelate,15679.62,0.001,18151.41,16936.87,0.001,0.001,34289.38,0.001,0.001,13319.77,0.001,0.001,32718.96,72402.72,44670.87,0.001,16098.36,0.001,0.001,26449.04,0.001,0.001,0.001,0.001,0.001,0.001,36594.03,14368.69,0.001,31005.88,0.001,0.001,0.001,80359.47,0.001,25051.07,0.001
Bacitracin A,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,13939.99,0.001,0.001,0.001,12070.2,0.001,0.001,0.001,0.001,0.001,0.001,6911.73,0.001,4477.166,0.001,0.001,0.001,0.001,0.001,0.001
Benzanthrone,0.001,0.001,64084.44,0.001,0.001,0.001,0.001,0.001,0.001,89289.55,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
beta-Gentiobiose,1677560,1571657,1642644,675769.4,979268.8,1220531,0.001,0.001,0.001,1232425,829177.9,916348.5,100679.6,0.001,0.001,1456616,1628173,1542565,364161,942595.6,645881.6,1531326,1618093,1479932,802280.1,792337.5,1043524,1018303,1129062,1368463,1138852,1250765,326972.4,641263.1,1051058,1287467,1505545
Betaine,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,222931.7,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,169571.7,0.001,0.001
beta-Nicotinamide Adenine Dinucleotide,2054210,0.001,967988.3,0.001,0.001,1051944,3913593,0.001,0.001,0.001,0.001,2092383,0.001,706352.7,679051,0.001,227624.5,0.001,0.001,795189.3,0.001,0.001,526827.5,643226.1,0.001,787663.6,1146943,605877.6,0.001,777103.4,0.001,0.001,0.001,0.001,0.001,0.001,294936.5
beta-Pseudouridine,125616,151728.1,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,133608.5,0.001,0.001,0.001,0.001,100479.7,79283.59,0.001,0.001,0.001,0.001,133784.8,85912.84,0.001,0.001,59971.3,0.001,0.001,62744.76,0.001,0.001,67428,0.001,0.001,0.001,0.001,0.001
Biliverdin,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,42097.82,0.001,0.001,0.001,18249.58,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
Bishomo-gamma-linolenic Acid (20:3),0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,76880.06,0.001,34003.11,36479.81,68354.72,43890.01,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,37587.17,0.001,0.001,0.001,0.001,0.001,0.001,0.001
Caffeine,1836697,1654491,1696042,687582.4,662344.3,821258.4,0.001,0.001,0.001,1777967,1779526,1746927,617604,585256.8,434496.7,1574498,1842256,1451463,145001.1,657860.2,504974.4,1561984,1582585,1766252,648740.6,815978.1,750222.7,0.001,1272927,1489047,677516.9,1166398,158534.4,458638,931702.4,741659.9,1541266
Camphene,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,55687.57,0.001,0.001,0.001,0.001
Carbocyclic Thromboxane A2,104867.3,0.001,0.001,139616.4,136015.1,0.001,0.001,0.001,0.001,129779.5,110891.9,114187.5,151057.1,141929.6,144574.6,104830.2,0.001,0.001,92776.91,0.001,112841.4,104906.6,111508.1,113963.2,138246.8,149582.9,0.001,0.001,0.001,126701.7,0.001,132319.6,68080.54,0.001,97487.67,110817.9,117636.5
Carnosine,703835.4,2282343,0.001,1997784,3018396,304244.3,1450972,82588.19,0.001,0.001,376704,554777.8,911410.9,1534577,1519368,336964.6,0.001,1776178,3038025,1526579,3306707,1032382,874364,0.001,1510597,1836762,0.001,1107094,1477902,179511.8,2668851,444867.6,0.001,155326.2,272264.8,608198.6,624988.3
Catechin,86581.7,22755.25,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,21565.76,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,26322.37,0.001,0.001,0.001,0.001,0.001
Cer (d18:1/17:0),0.001,0.001,0.001,7650067,7590781,7805674,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,24916.31,35632.28,7478376,1.04E+07,9900302,0.001,3657225,3900923,3301982,3174625,251206.6,605603.3,1281421,2271184,3537235
Cer 36:01,0.001,0.001,0.001,4068290,3994062,4084925,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,13680.61,4072798,6276820,5665360,0.001,1878684,1988953,1724177,1724642,124247.5,323052.8,676758,1154387,1801647
Cer 42:01,0.001,0.001,0.001,0.001,0.001,11175.34,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,8921.884,0.001,0.001,0.001,0.001,0.001,0.001,2569.85,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
Cer 42:01 OH,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,381391.1,0.001,0.001,0.001
Cinnamic Acid,3770291,3650358,3693467,875629.1,1102701,1101468,0.001,0.001,0.001,3907052,3651389,3403718,774747,897067.1,700394.6,3281541,3369081,3490058,0.001,776570.7,652699.1,4111632,3584241,3348708,931525.9,1241563,1060917,1972720,2060015,2035920,2279263,2313108,127099.3,269017.3,589210.6,1191079,2234651
Clarithromycin,0.001,0.001,0.001,29493.48,0.001,18869.67,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,49472.98,38037.65,0.001,0.001,27767.47,0.001,10151.14,0.001,136288.8,139643.1,121561.6,51094.77,18551.58
Coronene,0.001,0.001,0.001,141219,156522.5,182083.5,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,16377.18,0.001,0.001,0.001,0.001,0.001,0.001,0.001
Cortisol,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,12744.54,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
Cortisol-21-acetate,837589.1,766240.3,872010.6,282689.7,319595.1,408401.9,0.001,0.001,0.001,820860,764670.4,793911.6,233803,221006.4,180880.8,728466.8,805392.1,657627.9,114567.3,294042.4,224974.8,908096.9,776232.8,886052.8,314512.2,473287.7,430002.8,0.001,605424.8,694052.5,536449.4,578284.1,0.001,123844.4,269733,381925.2,632400.8
Cortisone,414771.3,374527.2,0.001,0.001,79950.4,132078.5,0.001,0.001,0.001,498187.2,388499.1,444946.8,0.001,0.001,61172.29,367235.5,614082.3,309268.2,0.001,126141.9,60893.59,0.001,232890.8,287768.9,90534.48,133201.3,156607.3,0.001,229241.4,307334,183561.9,195893.6,0.001,0.001,105075,147265.6,251317.6
Cs(CsI)2(NaI)3 or Na(CsI)3(NaI)2,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,9843.332,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
Cyclic-AMP,1443931,1279633,1411003,0.001,76133.49,105873.7,0.001,0.001,0.001,955410.1,937262.8,1050279,0.001,28479.79,0.001,1347622,1495470,1497621,0.001,209244.1,173884.9,52066.22,0.001,19531.48,0.001,0.001,0.001,351830.1,389435.5,425993.9,438670.6,407150.7,0.001,0.001,84861.08,219306.8,530839.6
Cyclic-GMP,775282.9,695750.6,712074.8,122152,181740.9,174951.1,0.001,0.001,0.001,681843.4,688310.4,687914.2,156875.5,169544.9,0.001,665698,696863.5,673104.6,78678.2,188062.4,162142.1,289813.8,267917.2,270198.3,0.001,0.001,0.001,335721.5,391600.5,392538.3,373328.7,390266.9,0.001,0.001,146846.4,219674.3,439167.2
Cysteate,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,773124.7,738690.9,0.001,0.001,0.001
Cytidine,4047906,3552773,3367591,377202,564365.5,286020.8,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,367047.1,407552.2,336018.2,0.001,0.001,66817.97,784226.4,1325481,1394485,0.001,157643.7,102771,0.001,740399.9,727870.7,721112.1,782615.6,0.001,0.001,105427.7,287920.1,654267.3
"Cytidine-2',3'-Cyclic Phosphate",426440.9,362540.1,417337.4,0.001,102761.7,137752.7,0.001,0.001,0.001,404419.4,421002.7,360664.3,70799.78,0.001,0.001,326665.1,379322.9,295669.8,0.001,87414.08,0.001,235721.2,196312.7,189826.9,0.001,0.001,0.001,220179.5,230198.7,212128.2,186824,191669.6,0.001,0.001,0.001,0.001,235545.8
Cytidine-5'-diphosphocholine,0.001,51087.61,0.001,61283.26,70178.99,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,56541.71,0.001,0.001,0.001,0.001,0.001,0.001,27126.84,0.001,0.001,0.001,0.001,55955.41,0.001,0.001,0.001,0.001,0.001,0.001
Cytosine,6048044,5036264,5189195,1557120,2006143,1624075,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1446635,1415220,1275903,314198.7,725981.1,0.001,2040648,2740311,2895929,0.001,0.001,959538.6,2060291,2233818,2170098,2009585,2242525,0.001,0.001,450317.2,0.001,2099896
D-(-)-3-Phosphoglycerate,0.001,0.001,0.001,3294150,0.001,0.001,0.001,1744712,1744225,0.001,1120108,799515.3,1571747,0.001,0.001,654011.2,0.001,0.001,1506548,1562463,2231886,0.001,674570.1,1189257,1605669,3873386,1190519,2419986,936887.2,554198.9,584761.9,0.001,903902.4,709872.4,0.001,0.001,0.001
D-(+)-Malate,4546720,4105404,3787961,5974910,8711632,6256151,3381592,3129031,2344725,1061471,2327316,1857279,1966639,2694515,2756773,2235295,1824776,2462443,3831270,2756512,2742467,3230860,2507960,2461822,2839805,3601147,3094277,4170077,4432984,2515960,2845717,3162007,2637395,2610853,2832335,2035351,2192305
D-(+)-Melezitose,135826.6,140768.4,117367.1,0.001,0.001,0.001,0.001,0.001,0.001,173957.5,144961,123868.5,0.001,0.001,0.001,128749.8,157047.2,152717.4,0.001,53945.7,0.001,0.001,156224.6,161521,35185.1,57301.46,0.001,98342.23,94326.72,132555.4,0.001,102932.5,0.001,0.001,46040.22,100979,160146.7
D-(+)-Raffinose,520281.4,288746.3,500647.2,0.001,0.001,117363,0.001,0.001,0.001,511469.5,359908.6,463129.4,115412.9,0.001,0.001,318043.9,654269.8,309033.9,0.001,189070.9,78560.72,352994.9,400240.7,637331.6,195478.3,219240.8,212575.5,334415.7,219334,420758.4,186839.3,221686.1,84730.33,184114.4,294097.3,493008.5,594158.1
D-(+)-Trehalose,0.001,0.001,0.001,602056.4,843517.8,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1191864,0.001,0.001,364757.3,876756.1,0.001,0.001,1205567,0.001,781393.2,819584,986507.4,0.001,0.001,0.001,0.001,0.001,341942.4,633672.8,1020068,1253817,1226730
D-(+)-Turanose,878983.6,804581.9,794120.6,472873.3,574893.7,725609.4,0.001,0.001,0.001,563670.4,467313.3,518037.3,110114.1,86984.68,55030.3,640127.8,765831.9,730789.2,282654.5,512019.2,434395.5,990211,1097859,1082072,564608.8,746414.6,795346.3,810988.9,697811.2,869285.1,723267.9,681060.8,205044.1,389984.4,618883.5,883367.1,969513.7
d7-PA (15:0-18:1),0.001,0.001,0.001,611089.2,561388.8,701459.2,0.001,0.001,0.001,0.001,0.001,0.001,1692794,1434222,1323782,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,901501.1,589344.4,763917.1,370692,330641.3,367767.2,326670.1,305331.2,29482.4,71324.02,179886.5,292275.9,398717.1
D-Biotin,952192.5,990575.3,1060155,400696,634887.3,460170.8,0.001,0.001,0.001,1176065,1190745,1183220,1243475,1361301,1112219,993654.1,889440.6,1009241,1010872,1840200,2150298,1152590,1068099,1010027,807570.7,874523.4,956523.7,0.001,960896.3,953109.8,911641.6,935497.4,562700.9,1180543,1933485,1260048,837102.9
D-Desthiobin,1028118,906029.5,977123.9,652063.3,653078.1,1046338,0.001,0.001,0.001,536297.2,597573.4,576668.9,211302.7,210595.3,0.001,574250.9,551922.3,510883.6,183957,178978.1,195090.4,1063203,895438.4,974050.6,2022619,865183,971826.5,728429.8,784366.4,699938.1,743500.1,686218.8,0.001,0.001,223036.8,391882.9,625273.9
DDSPDLPK (Tryptic Peptide),1199620,1002996,1170654,140545.7,187259,160964.9,0.001,0.001,0.001,1020924,1041752,1026669,105404.7,159091.5,121064.6,1040348,1019518,1033889,65150.29,145148.2,181236.7,1064476,953124,801391.2,0.001,127003.6,115212.8,370330.5,512176.1,417301.4,584676.4,572568.9,0.001,0.001,0.001,193049.2,523935.4
Dehydro-L-(+)-ascorbic Acid Monomer,822124.5,954649.9,929200.6,1958046,1300625,1049491,2815315,2637513,2495097,970165.4,1037101,967237.8,1366639,1334008,1389547,1050077,685073.8,1075113,0.001,1127940,2301882,1111992,1116414,978053.4,1077520,2001360,1152133,1079854,1062932,928341.3,1163995,1151122,2313487,0.001,972506.4,661554.6,702581
Deoxyadenosine,188144.9,143703,172143.6,93576.08,0.001,96538.45,0.001,0.001,0.001,158283.8,0.001,185228.3,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,155013,192976.1,174287.4,0.001,0.001,0.001,159147.6,150273.2,0.001,0.001,0.001,0.001,0.001,58045.53,0.001,127282
Deoxycarnitine,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,58990.94,62133.29,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,57509.87,0.001,0.001,0.001,0.001,0.001,0.001,0.001,48416.73,0.001,0.001,0.001,0.001,0.001,31466.3
Deoxycholate,282824,255338,283140.7,293486.5,273142.8,269158.1,0.001,0.001,0.001,317711.1,328475.7,331858.1,283279,254071.5,257487.9,322883.5,286546.6,297440.5,104922.3,208481.6,177007.3,322117.5,323441.1,323156.5,285471.4,323604.7,274572.3,299687.9,280590.5,314261.1,285727.3,300399.9,0.001,112805,162429.8,237819.3,269985.9
Deoxycorticosterone Acetate,0.001,0.001,0.001,346741.9,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,150468.4,0.001,0.001,0.001,0.001,550045.9,0.001,682639.1,313454.4,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
